score,count,cumulative
57,1,30168
49,1,30169
33,1,30170
31,1,30171
26,1,30172
20,87,30259
19,1,30260
18,7,30267
15,53,30320
5,57,30377
0,80,30457
