最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
663,663,1,1,江西,文科,2022,750,3+X
660,660,1,2,江西,文科,2022,750,3+X
656,656,1,3,江西,文科,2022,750,3+X
654,654,1,4,江西,文科,2022,750,3+X
652,652,1,5,江西,文科,2022,750,3+X
650,650,1,6,江西,文科,2022,750,3+X
649,649,1,7,江西,文科,2022,750,3+X
648,648,1,8,江西,文科,2022,750,3+X
647,647,1,9,江西,文科,2022,750,3+X
646,646,1,10,江西,文科,2022,750,3+X
644,644,2,12,江西,文科,2022,750,3+X
643,643,2,14,江西,文科,2022,750,3+X
642,642,1,15,江西,文科,2022,750,3+X
641,641,2,17,江西,文科,2022,750,3+X
640,640,3,20,江西,文科,2022,750,3+X
639,639,4,24,江西,文科,2022,750,3+X
638,638,1,25,江西,文科,2022,750,3+X
637,637,2,27,江西,文科,2022,750,3+X
636,636,5,32,江西,文科,2022,750,3+X
635,635,1,33,江西,文科,2022,750,3+X
634,634,6,39,江西,文科,2022,750,3+X
633,633,4,43,江西,文科,2022,750,3+X
632,632,6,49,江西,文科,2022,750,3+X
631,631,8,57,江西,文科,2022,750,3+X
630,630,6,63,江西,文科,2022,750,3+X
629,629,8,71,江西,文科,2022,750,3+X
628,628,9,80,江西,文科,2022,750,3+X
627,627,11,91,江西,文科,2022,750,3+X
626,626,6,97,江西,文科,2022,750,3+X
625,625,7,104,江西,文科,2022,750,3+X
624,624,14,118,江西,文科,2022,750,3+X
623,623,7,125,江西,文科,2022,750,3+X
622,622,14,139,江西,文科,2022,750,3+X
621,621,9,148,江西,文科,2022,750,3+X
620,620,15,163,江西,文科,2022,750,3+X
619,619,12,175,江西,文科,2022,750,3+X
618,618,14,189,江西,文科,2022,750,3+X
617,617,15,204,江西,文科,2022,750,3+X
616,616,14,218,江西,文科,2022,750,3+X
615,615,12,230,江西,文科,2022,750,3+X
614,614,17,247,江西,文科,2022,750,3+X
613,613,14,261,江西,文科,2022,750,3+X
612,612,19,280,江西,文科,2022,750,3+X
611,611,19,299,江西,文科,2022,750,3+X
610,610,18,317,江西,文科,2022,750,3+X
609,609,27,344,江西,文科,2022,750,3+X
608,608,26,370,江西,文科,2022,750,3+X
607,607,26,396,江西,文科,2022,750,3+X
606,606,26,422,江西,文科,2022,750,3+X
605,605,33,455,江西,文科,2022,750,3+X
604,604,43,498,江西,文科,2022,750,3+X
603,603,23,521,江西,文科,2022,750,3+X
602,602,42,563,江西,文科,2022,750,3+X
601,601,39,602,江西,文科,2022,750,3+X
600,600,33,635,江西,文科,2022,750,3+X
599,599,56,691,江西,文科,2022,750,3+X
598,598,40,731,江西,文科,2022,750,3+X
597,597,45,776,江西,文科,2022,750,3+X
