score,count,cumulative
21,1,57107
20,191,57298
19,0,57298
18,1,57299
17,3,57302
16,0,57302
15,0,57302
14,0,57302
13,2,57304
12,1,57305
11,0,57305
10,6,57311
9,1,57312
8,0,57312
7,0,57312
6,0,57312
5,1,57313
4,0,57313
3,0,57313
2,0,57313
1,0,57313
0,1061,58374
