score,count,cumulative,source
653,1,1,hfplg.com/yfyd/12674.html
643,2,3,hfplg.com/yfyd/12674.html
642,1,4,hfplg.com/yfyd/12674.html
641,1,5,hfplg.com/yfyd/12674.html
640,1,5,hfplg.com/yfyd/12674.html
639,1,5,hfplg.com/yfyd/12674.html
638,2,6,hfplg.com/yfyd/12674.html
637,1,7,hfplg.com/yfyd/12674.html
636,1,8,hfplg.com/yfyd/12674.html
635,1,8,hfplg.com/yfyd/12674.html
634,1,8,hfplg.com/yfyd/12674.html
633,2,8,hfplg.com/yfyd/12674.html
632,1,9,hfplg.com/yfyd/12674.html
631,1,10,hfplg.com/yfyd/12674.html
630,2,11,hfplg.com/yfyd/12674.html
629,1,12,hfplg.com/yfyd/12674.html
628,1,13,hfplg.com/yfyd/12674.html
627,1,14,hfplg.com/yfyd/12674.html
626,2,15,hfplg.com/yfyd/12674.html
625,1,16,hfplg.com/yfyd/12674.html
624,1,17,hfplg.com/yfyd/12674.html
623,2,18,hfplg.com/yfyd/12674.html
622,3,21,hfplg.com/yfyd/12674.html
621,1,22,hfplg.com/yfyd/12674.html
620,2,24,hfplg.com/yfyd/12674.html
619,1,25,hfplg.com/yfyd/12674.html
618,2,27,hfplg.com/yfyd/12674.html
617,3,30,hfplg.com/yfyd/12674.html
616,2,32,hfplg.com/yfyd/12674.html
615,3,35,hfplg.com/yfyd/12674.html
614,2,37,hfplg.com/yfyd/12674.html
613,2,39,hfplg.com/yfyd/12674.html
612,2,41,hfplg.com/yfyd/12674.html
611,3,44,hfplg.com/yfyd/12674.html
610,1,45,hfplg.com/yfyd/12674.html
609,2,47,hfplg.com/yfyd/12674.html
608,1,48,hfplg.com/yfyd/12674.html
607,3,51,hfplg.com/yfyd/12674.html
606,4,55,hfplg.com/yfyd/12674.html
605,2,57,hfplg.com/yfyd/12674.html
604,1,58,hfplg.com/yfyd/12674.html
603,5,62,hfplg.com/yfyd/12674.html
602,3,65,hfplg.com/yfyd/12674.html
601,2,67,hfplg.com/yfyd/12674.html
600,3,70,hfplg.com/yfyd/12674.html
599,2,72,hfplg.com/yfyd/12674.html
598,2,74,hfplg.com/yfyd/12674.html
597,4,78,hfplg.com/yfyd/12674.html
596,4,82,hfplg.com/yfyd/12674.html
595,4,86,hfplg.com/yfyd/12674.html
594,3,89,hfplg.com/yfyd/12674.html
593,4,93,hfplg.com/yfyd/12674.html
592,3,96,hfplg.com/yfyd/12674.html
591,3,99,hfplg.com/yfyd/12674.html
590,6,105,hfplg.com/yfyd/12674.html
589,5,110,hfplg.com/yfyd/12674.html
588,2,112,hfplg.com/yfyd/12674.html
587,2,114,hfplg.com/yfyd/12674.html
586,7,121,hfplg.com/yfyd/12674.html
585,4,125,hfplg.com/yfyd/12674.html
584,4,129,hfplg.com/yfyd/12674.html
583,3,132,hfplg.com/yfyd/12674.html
582,5,137,hfplg.com/yfyd/12674.html
581,6,143,hfplg.com/yfyd/12674.html
580,4,147,hfplg.com/yfyd/12674.html
579,6,153,hfplg.com/yfyd/12674.html
578,4,157,hfplg.com/yfyd/12674.html
577,6,163,hfplg.com/yfyd/12674.html
576,8,171,hfplg.com/yfyd/12674.html
575,7,178,hfplg.com/yfyd/12674.html
574,4,182,hfplg.com/yfyd/12674.html
573,6,188,hfplg.com/yfyd/12674.html
572,5,193,hfplg.com/yfyd/12674.html
571,8,201,hfplg.com/yfyd/12674.html
570,7,208,hfplg.com/yfyd/12674.html
569,6,214,hfplg.com/yfyd/12674.html
568,6,220,hfplg.com/yfyd/12674.html
567,8,228,hfplg.com/yfyd/12674.html
566,4,232,hfplg.com/yfyd/12674.html
565,7,239,hfplg.com/yfyd/12674.html
564,6,245,hfplg.com/yfyd/12674.html
563,6,251,hfplg.com/yfyd/12674.html
562,9,260,hfplg.com/yfyd/12674.html
561,8,268,hfplg.com/yfyd/12674.html
560,7,275,hfplg.com/yfyd/12674.html
559,8,283,hfplg.com/yfyd/12674.html
558,9,292,hfplg.com/yfyd/12674.html
557,6,298,hfplg.com/yfyd/12674.html
556,8,306,hfplg.com/yfyd/12674.html
555,9,315,hfplg.com/yfyd/12674.html
554,6,321,hfplg.com/yfyd/12674.html
553,8,329,hfplg.com/yfyd/12674.html
552,9,338,hfplg.com/yfyd/12674.html
551,7,345,hfplg.com/yfyd/12674.html
550,5,350,hfplg.com/yfyd/12674.html
549,7,357,hfplg.com/yfyd/12674.html
548,8,365,hfplg.com/yfyd/12674.html
547,8,373,hfplg.com/yfyd/12674.html
546,6,379,hfplg.com/yfyd/12674.html
545,8,387,hfplg.com/yfyd/12674.html
544,7,394,hfplg.com/yfyd/12674.html
543,9,403,hfplg.com/yfyd/12674.html
542,11,414,hfplg.com/yfyd/12674.html
541,10,424,hfplg.com/yfyd/12674.html
540,8,432,hfplg.com/yfyd/12674.html
539,11,443,hfplg.com/yfyd/12674.html
538,11,454,hfplg.com/yfyd/12674.html
537,12,466,hfplg.com/yfyd/12674.html
536,10,476,hfplg.com/yfyd/12674.html
535,12,488,hfplg.com/yfyd/12674.html
534,7,495,hfplg.com/yfyd/12674.html
533,12,507,hfplg.com/yfyd/12674.html
532,14,521,hfplg.com/yfyd/12674.html
531,8,529,hfplg.com/yfyd/12674.html
530,9,538,hfplg.com/yfyd/12674.html
529,10,548,hfplg.com/yfyd/12674.html
528,11,559,hfplg.com/yfyd/12674.html
527,19,578,hfplg.com/yfyd/12674.html
526,24,602,hfplg.com/yfyd/12674.html
525,13,615,hfplg.com/yfyd/12674.html
524,19,634,hfplg.com/yfyd/12674.html
523,14,648,hfplg.com/yfyd/12674.html
522,37,685,hfplg.com/yfyd/12674.html
521,41,726,hfplg.com/yfyd/12674.html
520,56,782,hfplg.com/yfyd/12674.html
519,37,819,hfplg.com/yfyd/12674.html
518,32,851,hfplg.com/yfyd/12674.html
517,12,863,hfplg.com/yfyd/12674.html
516,23,886,hfplg.com/yfyd/12674.html
515,23,909,hfplg.com/yfyd/12674.html
514,41,950,hfplg.com/yfyd/12674.html
513,19,969,hfplg.com/yfyd/12674.html
512,35,1004,hfplg.com/yfyd/12674.html
511,30,1034,hfplg.com/yfyd/12674.html
510,52,1086,hfplg.com/yfyd/12674.html
509,25,1111,hfplg.com/yfyd/12674.html
508,10,1121,hfplg.com/yfyd/12674.html
507,34,1155,hfplg.com/yfyd/12674.html
506,18,1173,hfplg.com/yfyd/12674.html
505,39,1212,hfplg.com/yfyd/12674.html
504,28,1240,hfplg.com/yfyd/12674.html
503,53,1293,hfplg.com/yfyd/12674.html
502,13,1306,hfplg.com/yfyd/12674.html
501,47,1353,hfplg.com/yfyd/12674.html
500,22,1375,hfplg.com/yfyd/12674.html
499,30,1405,hfplg.com/yfyd/12674.html
498,44,1449,hfplg.com/yfyd/12674.html
497,10,1459,hfplg.com/yfyd/12674.html
496,23,1482,hfplg.com/yfyd/12674.html
495,35,1517,hfplg.com/yfyd/12674.html
494,27,1544,hfplg.com/yfyd/12674.html
493,18,1562,hfplg.com/yfyd/12674.html
492,14,1576,hfplg.com/yfyd/12674.html
491,19,1595,hfplg.com/yfyd/12674.html
490,34,1629,hfplg.com/yfyd/12674.html
489,24,1653,hfplg.com/yfyd/12674.html
