分数,本段人数,累计人数
731,1,1
723,1,2
719,1,3
718,1,4
714,1,5
713,1,6
711,1,7
710,1,8
709,1,9
707,2,11
706,1,12
705,2,14
704,2,16
703,1,17
702,2,19
701,3,22
700,1,23
699,5,28
698,5,33
697,4,37
696,3,40
695,3,43
694,5,48
693,5,53
692,1,54
690,1,55
689,6,61
688,9,70
687,2,72
686,8,80
685,7,87
684,10,97
683,13,110
682,18,128
681,8,136
680,11,147
679,13,160
678,9,169
677,10,179
676,14,193
675,13,206
674,19,225
673,14,239
672,15,254
671,19,273
670,23,296
669,18,314
668,26,340
667,32,372
666,26,398
665,27,425
664,31,456
663,32,488
662,24,512
661,35,547
660,29,576
659,37,613
658,30,643
657,38,681
656,40,721
655,46,767
654,55,822
653,49,871
652,50,921
651,47,968
650,51,1019
649,62,1081
648,42,1123
647,62,1185
646,55,1240
645,56,1296
644,61,1357
643,73,1430
642,76,1506
641,81,1587
640,89,1676
639,75,1751
638,97,1848
637,67,1915
636,96,2011
635,107,2118
634,129,2247
633,122,2369
632,96,2465
631,112,2577
630,111,2688
629,118,2806
628,125,2931
627,128,3059
626,137,3196
625,149,3345
624,140,3485
623,121,3606
622,136,3742
621,151,3893
620,158,4051
619,150,4201
618,139,4340
617,173,4513
616,148,4661
615,173,4834
614,169,5003
613,163,5166
612,176,5342
611,181,5523
610,185,5708
609,217,5925
608,193,6118
607,198,6316
606,202,6518
605,222,6740
604,221,6961
603,237,7198
602,225,7423
601,226,7649
600,246,7895
599,242,8137
598,241,8378
597,269,8647
596,224,8871
595,238,9109
594,230,9339
593,270,9609
592,281,9890
591,240,10130
590,292,10422
589,275,10697
588,275,10972
587,277,11249
586,285,11534
585,314,11848
584,298,12146
583,284,12430
582,310,12740
581,296,13036
580,322,13358
579,298,13656
578,317,13973
577,339,14312
576,331,14643
575,337,14980
574,314,15294
573,346,15640
572,365,16005
571,394,16399
570,361,16760
569,335,17095
568,341,17436
567,402,17838
566,378,18216
565,382,18598
564,369,18967
563,383,19350
562,385,19735
561,348,20083
560,393,20476
559,387,20863
558,385,21248
557,422,21670
556,427,22097
555,423,22520
554,382,22902
553,403,23305
552,419,23724
551,438,24162
550,438,24600
549,422,25022
548,451,25473
547,444,25917
546,416,26333
545,426,26759
544,409,27168
543,473,27641
542,449,28090
541,464,28554
540,471,29025
539,492,29517
538,433,29950
537,480,30430
536,476,30906
535,502,31408
534,481,31889
533,483,32372
532,496,32868
531,489,33357
530,518,33875
529,507,34382
528,553,34935
527,501,35436
526,521,35957
525,519,36476
524,518,36994
523,524,37518
522,502,38020
521,506,38526
520,528,39054
519,570,39624
518,553,40177
517,603,40780
516,546,41326
515,551,41877
514,519,42396
513,578,42974
512,581,43555
511,594,44149
510,561,44710
509,641,45351
508,585,45936
507,550,46486
506,555,47041
505,593,47634
504,578,48212
503,566,48778
502,585,49363
501,571,49934
500,596,50530
499,604,51134
498,589,51723
497,611,52334
496,634,52968
495,588,53556
494,628,54184
493,628,54812
492,654,55466
491,679,56145
490,655,56800
489,648,57448
488,657,58105
487,630,58735
486,636,59371
485,675,60046
484,662,60708
483,650,61358
482,654,62012
481,655,62667
480,671,63338
479,663,64001
478,645,64646
477,718,65364
476,699,66063
475,708,66771
474,644,67415
473,679,68094
472,673,68767
471,705,69472
470,719,70191
469,665,70856
468,695,71551
467,708,72259
466,667,72926
465,669,73595
464,641,74236
463,713,74949
462,740,75689
461,722,76411
460,699,77110
459,731,77841
458,686,78527
457,702,79229
456,697,79926
455,701,80627
454,713,81340
453,692,82032
452,706,82738
451,677,83415
450,686,84101
449,699,84800
448,664,85464
447,711,86175
446,682,86857
445,725,87582
444,680,88262
443,727,88989
442,690,89679
441,722,90401
440,674,91075
439,687,91762
438,699,92461
437,720,93181
436,696,93877
435,694,94571
434,716,95287
433,685,95972
432,684,96656
431,634,97290
430,681,97971
429,703,98674
428,755,99429
427,698,100127
426,732,100859
425,683,101542
424,692,102234
423,739,102973
422,641,103614
421,694,104308
420,681,104989
419,687,105676
418,639,106315
417,691,107006
416,683,107689
415,657,108346
414,642,108988
413,654,109642
412,656,110298
411,653,110951
410,641,111592
409,647,112239
408,670,112909
407,626,113535
406,666,114201
405,678,114879
404,637,115516
403,655,116171
402,633,116804
401,591,117395
400,612,118007
399,623,118630
398,580,119210
397,653,119863
396,637,120500
395,645,121145
394,576,121721
393,604,122325
392,630,122955
391,581,123536
390,539,124075
389,600,124675
388,579,125254
387,574,125828
386,570,126398
385,583,126981
384,590,127571
383,513,128084
382,549,128633
381,518,129151
380,571,129722
379,526,130248
378,544,130792
377,525,131317
376,547,131864
375,492,132356
374,545,132901
373,546,133447
372,487,133934
371,552,134486
370,540,135026
369,498,135524
368,514,136038
367,518,136556
366,485,137041
365,526,137567
364,494,138061
363,485,138546
362,504,139050
361,488,139538
360,503,140041
359,467,140508
358,455,140963
357,474,141437
356,440,141877
355,440,142317
354,460,142777
353,441,143218
352,453,143671
351,442,144113
350,411,144524
349,439,144963
348,408,145371
347,432,145803
346,402,146205
345,429,146634
344,376,147010
343,370,147380
342,416,147796
341,413,148209
340,391,148600
339,392,148992
338,345,149337
337,413,149750
336,373,150123
335,378,150501
334,386,150887
333,388,151275
332,390,151665
331,353,152018
330,338,152356
329,357,152713
328,332,153045
327,322,153367
326,334,153701
325,342,154043
324,327,154370
323,318,154688
322,337,155025
321,313,155338
320,316,155654
