score,count,cumulative,source
522,46,3614,gankaosheng.com/line/5e559683.html
521,64,3678,gankaosheng.com/line/5e559683.html
520,72,3750,gankaosheng.com/line/5e559683.html
519,59,3809,gankaosheng.com/line/5e559683.html
518,70,3879,gankaosheng.com/line/5e559683.html
517,59,3938,gankaosheng.com/line/5e559683.html
516,67,4005,gankaosheng.com/line/5e559683.html
515,70,4075,gankaosheng.com/line/5e559683.html
514,39,4114,gankaosheng.com/line/5e559683.html
513,66,4180,gankaosheng.com/line/5e559683.html
512,81,4261,gankaosheng.com/line/5e559683.html
511,71,4332,gankaosheng.com/line/5e559683.html
510,73,4405,gankaosheng.com/line/5e559683.html
509,71,4476,gankaosheng.com/line/5e559683.html
508,75,4551,gankaosheng.com/line/5e559683.html
507,59,4610,gankaosheng.com/line/5e559683.html
506,59,4669,gankaosheng.com/line/5e559683.html
505,71,4740,gankaosheng.com/line/5e559683.html
504,84,4824,gankaosheng.com/line/5e559683.html
503,81,4905,gankaosheng.com/line/5e559683.html
502,44,4949,gankaosheng.com/line/5e559683.html
501,95,5044,gankaosheng.com/line/5e559683.html
500,84,5128,gankaosheng.com/line/5e559683.html
499,85,5213,gankaosheng.com/line/5e559683.html
498,85,5298,gankaosheng.com/line/5e559683.html
497,61,5359,gankaosheng.com/line/5e559683.html
496,70,5429,gankaosheng.com/line/5e559683.html
495,87,5516,gankaosheng.com/line/5e559683.html
494,87,5603,gankaosheng.com/line/5e559683.html
493,60,5663,gankaosheng.com/line/5e559683.html
492,95,5758,gankaosheng.com/line/5e559683.html
491,79,5837,gankaosheng.com/line/5e559683.html
490,89,5926,gankaosheng.com/line/5e559683.html
489,89,6015,gankaosheng.com/line/5e559683.html
488,84,6099,gankaosheng.com/line/5e559683.html
487,86,6185,gankaosheng.com/line/5e559683.html
486,37,6222,gankaosheng.com/line/5e559683.html
485,114,6336,gankaosheng.com/line/5e559683.html
484,60,6396,gankaosheng.com/line/5e559683.html
483,111,6507,gankaosheng.com/line/5e559683.html
482,79,6586,gankaosheng.com/line/5e559683.html
481,115,6701,gankaosheng.com/line/5e559683.html
480,77,6778,gankaosheng.com/line/5e559683.html
479,118,6896,gankaosheng.com/line/5e559683.html
478,57,6953,gankaosheng.com/line/5e559683.html
477,102,7055,gankaosheng.com/line/5e559683.html
476,109,7164,gankaosheng.com/line/5e559683.html
475,110,7274,gankaosheng.com/line/5e559683.html
474,91,7365,gankaosheng.com/line/5e559683.html
473,68,7433,gankaosheng.com/line/5e559683.html
472,95,7528,gankaosheng.com/line/5e559683.html
471,82,7610,gankaosheng.com/line/5e559683.html
470,102,7712,gankaosheng.com/line/5e559683.html
469,69,7781,gankaosheng.com/line/5e559683.html
468,138,7919,gankaosheng.com/line/5e559683.html
467,96,8015,gankaosheng.com/line/5e559683.html
466,84,8099,gankaosheng.com/line/5e559683.html
465,128,8227,gankaosheng.com/line/5e559683.html
464,91,8318,gankaosheng.com/line/5e559683.html
463,102,8420,gankaosheng.com/line/5e559683.html
462,64,8484,gankaosheng.com/line/5e559683.html
461,98,8582,gankaosheng.com/line/5e559683.html
460,123,8705,gankaosheng.com/line/5e559683.html
459,109,8814,gankaosheng.com/line/5e559683.html
458,85,8899,gankaosheng.com/line/5e559683.html
457,122,9021,gankaosheng.com/line/5e559683.html
456,111,9132,gankaosheng.com/line/5e559683.html
455,99,9231,gankaosheng.com/line/5e559683.html
454,116,9347,gankaosheng.com/line/5e559683.html
453,115,9462,gankaosheng.com/line/5e559683.html
452,110,9572,gankaosheng.com/line/5e559683.html
451,53,9625,gankaosheng.com/line/5e559683.html
450,139,9764,gankaosheng.com/line/5e559683.html
449,100,9864,gankaosheng.com/line/5e559683.html
448,127,9991,gankaosheng.com/line/5e559683.html
447,132,10123,gankaosheng.com/line/5e559683.html
446,116,10239,gankaosheng.com/line/5e559683.html
445,126,10365,gankaosheng.com/line/5e559683.html
444,116,10481,gankaosheng.com/line/5e559683.html
443,124,10605,gankaosheng.com/line/5e559683.html
442,114,10719,gankaosheng.com/line/5e559683.html
441,104,10823,gankaosheng.com/line/5e559683.html
440,136,10959,gankaosheng.com/line/5e559683.html
439,125,11084,gankaosheng.com/line/5e559683.html
438,108,11192,gankaosheng.com/line/5e559683.html
437,132,11324,gankaosheng.com/line/5e559683.html
436,137,11461,gankaosheng.com/line/5e559683.html
435,129,11590,gankaosheng.com/line/5e559683.html
434,114,11704,gankaosheng.com/line/5e559683.html
433,115,11819,gankaosheng.com/line/5e559683.html
432,138,11957,gankaosheng.com/line/5e559683.html
431,149,12106,gankaosheng.com/line/5e559683.html
430,107,12213,gankaosheng.com/line/5e559683.html
429,101,12314,gankaosheng.com/line/5e559683.html
428,166,12480,gankaosheng.com/line/5e559683.html
427,140,12620,gankaosheng.com/line/5e559683.html
426,130,12750,gankaosheng.com/line/5e559683.html
425,109,12859,gankaosheng.com/line/5e559683.html
424,176,13035,gankaosheng.com/line/5e559683.html
423,107,13142,gankaosheng.com/line/5e559683.html
422,168,13310,gankaosheng.com/line/5e559683.html
421,143,13453,gankaosheng.com/line/5e559683.html
420,124,13577,gankaosheng.com/line/5e559683.html
