score,count,cumulative
206,48,29487
205,47,29534
204,35,29569
203,43,29612
202,30,29642
201,27,29669
200,32,29701
199,21,29722
198,35,29757
197,44,29801
196,41,29842
195,29,29871
194,26,29897
193,31,29928
192,26,29954
191,30,29984
190,19,30003
189,29,30032
188,18,30050
187,23,30073
186,19,30092
185,22,30114
184,18,30132
183,21,30153
182,21,30174
181,18,30192
180,15,30207
179,10,30217
178,18,30235
177,18,30253
176,14,30267
175,10,30277
174,16,30293
173,6,30299
172,10,30309
171,9,30318
170,12,30330
169,9,30339
168,11,30350
167,17,30367
166,11,30378
165,6,30384
164,5,30389
163,8,30397
162,10,30407
161,5,30412
160,11,30423
159,4,30427
158,3,30430
157,7,30437
156,5,30442
155,5,30447
154,6,30453
153,7,30460
152,4,30464
151,8,30472
150,3,30475
148,3,30478
147,3,30481
146,1,30482
145,2,30484
144,1,30485
142,3,30488
141,3,30491
139,2,30493
138,1,30494
137,2,30496
136,1,30497
135,2,30499
134,3,30502
133,2,30504
132,2,30506
130,1,30507
129,1,30508
126,5,30513
123,1,30514
121,1,30515
117,1,30516
115,2,30518
114,1,30519
113,1,30520
109,1,30521
107,1,30522
101,1,30523
99,1,30524
96,1,30525
94,1,30526
93,1,30527
