年份,科类,批次,控制线分数,对应位次,数据来源
2021,综合,本科批,466,37636,海南省考试局 + 一分一段表反查
2021,综合,特殊类型招生控制线,569,15085,海南省考试局 + 一分一段表反查
2022,综合,本科批,471,38862,海南省考试局 + 一分一段表反查
2022,综合,特殊类型招生控制线,569,15883,海南省考试局 + 一分一段表反查
2023,综合,本科批,483,39772,海南省考试局 + 一分一段表反查
2023,综合,特殊类型招生控制线,569,17601,海南省考试局 + 一分一段表反查
2024,综合,本科批,483,41779,海南省考试局 + 一分一段表反查
2024,综合,特殊类型招生控制线,568,18658,海南省考试局 + 一分一段表反查
2025,综合,本科批,480,43089,海南省考试局 + 一分一段表反查
2025,综合,特殊类型招生控制线,568,19005,海南省考试局 + 一分一段表反查
